この標識がある自動車専用道路では、トレーラーは原則として本線車道の最も左側の車両通行帯を通行しなければならない。,1,正,誤,設問の通り。
この標識では、二輪の自動車は通行してはいけないが、原付は通行してもよい。,2,正,誤,この標識は二輪の自動車（大型・普通）と原付は通行できない。
この区間内で転回してよい。,2,正,誤,この標識は転回禁止区間や転回禁止の場所を表している。
他の交通がなかったらそのままの速度で進行してもよい。,2,正,誤,この標識は必ず徐行しなければならない。
この標識は横断歩道があることを示している。,2,正,誤,この標識は横断歩道と自転車横断帯があることを示している。
自動車は時速50キロメートルをこえた速度で通行できる。,2,正,誤,５０キロを超えない速度で進行してよい。
この標識では他の車の進行を妨害しないように一時停止しなければならない。,2,正,誤,徐行しなければならないが一時停止の義務はない。
乗車定員１１人以上の自動車は通行してはいけない。,1,正,誤,設問の通り。乗車定員１０人以下の自動車は通行可。
この標識は車両通行止めを表す。,2,正,誤,この標識は車両進入禁止を表す。
この標識はその他の危険を表す。,1,正,誤,設問の通り。
